review_text,sentiment
"Ayo yg mau kirim paket ato bayar tagihan bulanan, dateng aja, petugasnya ramah2, ga antri lagi",positive
Nyaman dan penuh keramahan,positive
Bersih,positive
Pelayanan nya bagus...kirim ke Bandung 1 hari sampai..👍👍 …,positive
Merupakan BUMN tertua di Indonesia yang masih berdiri. Gedungnya juga sudah cukup tua.,positive
Bagus pelayanan cepat sesuai no antrian,positive
"untuk pelayanan transaksi ria money sangat cepat, dan MasyaAllah ramah2 semua dari security , CS dan teller2nya ⭐5 ..",positive
Stafnya sangat ramah,positive
Kantornya rapih sekarang,positive
Ciamik krn layanan untuk paket sampai jam 23.00 jadi sangat membantu untuk pengiriman ke luar kota.,positive
Pelayanan bagus dan ramah,positive
Kasirnya ramah dan cantik,positive
"Kantor pos besar surakarta/ solo merupakan pusat pelayanan masyarakat melalui post ofice .serta melayani penjualan benda post seperti, perangko , meterai dan melayani pengiriman surat menyurat,dokumen,barang2 dll. Parkir luas dan prlayanan sagat baik.",positive
Tempat bersih dan luas...,positive
"Kenangan ketika Adzan Subuh berkumandang, dan saya mencari asal suara ternyata ada mushola di dalam Kantor Pos yang buka dan masyarakat umum bisa berjamaah disana.",positive
Mantap banget kantor pos ini. Tadi pagi ke kantor pos sini buat bayar pajak barang luar negeri. Baru sampai disambut sama satpam yang ramah terus ambil tiket antrian langsung dipanggil ga ada 5 detik. Pas dibagian loket staffnya ramah dan bayar pajak ga ada 1 menit udah selesai. Mantap banget pelayanannya👍👍👍 …,positive
"Hi Guys, Jonat's Ripiw back again in google dan kali ini gw akan review Kantor Pos Indonesia Pusat Solo. Langsung aja biar sat set sut, here's my detailed review for Pos Indonesia Pusat Solo:

Kelebihannya:
- Kiriman Luar Negri paling bisa diandalkan!
- Tempat nyaman dan luas,
- Ada layanan bantuan packingnya,
- Lahan parkir luas,
- Melayani aneka pembayaran juga!
- Tersedia box logo POS AJA.

Yang perlu diperhatikan:
- Bayar parkir,
- Jam operasionalnya ga konsisten, hmm.

Sejauh ini layanan yang gw pake di Pos Indonesia cuma kiriman internasional. Kirim barang ke US aman banget! Adminnya juga udah terampil, segala pajak, cukai, dan dokumen dia yang urus tau beres dan nyampe. Enaknya lagi di sini mereka mau bantu packing juga coy, yah walau seadanya ya, KECUALI kita mau beli box mereka juga biar lebih proper. Okedeh segini dulu, sampai jumpa di ripiw berikutnya gaeeeees!",positive
Pelayanan super ramah. Tadi ngambil paket langsung ke kantor karena barang mau segera dipakai. Dilayani langsung sama Pak Mandor super ramah dan responsif 🙏 …,positive
