suspect_word,correct_word,,
cwus,,,
memangnya,memang,,
tolonglah,tolong,,
cb,coba,,
jpg,jepang,,
jakpus,jakarta pusat,,
sminggu,seminggu,,
tlng,tolong,,
darri,dari,,
sekaliini,sekali ini,,
borok,bobrok,,
hoak,hoax,,
dijawb,dijawab,,
terterah,tertera,,
menjd,menjadi,,
setannya,hantunya,,
ketularan,tertular,,
sangaaattt,sangat,,
sangaat,sangat,,
kecewaaa,kecewa,,
ngmong,berbicara,,
knpa,kenapa,,
skarang,sekarang,,
brang,barang,,
kmna,ke mana,,
brsangkutan,bersangkutan,,
brsikap,bersikap,,
bodo,bodoh,,
cn,,,
ktsh,,,
idjkta,,,
tindaklanjutin,menindaklanjuti,,
blg,mengatakan,,
ind,indonesia,,
customernya,pelanggannya,,
sebab,karena,,
nlpn,telepon,,
ujan,hujan,,
yng,yang,,
lntai,lantai,,
kapanpun,kapan pun,,
pemerintag,pemerintah,,
mamah,ibu,,
pki,,,
lmbat,lambat,,
dijakarta,di jakarta,,
managemen,manajemen,,
ulangpun,ulang pun,,
telpnya,teleponnya,,
konco,teman,,
konconya,temannya,,
kmn,ke mana,,
nanyain,menanyakan,,
hrsnya,seharusnya,,
br,baru,,
kel,,,
nimbang,menimbang,,
mandiin,memandikan,,
nyuapin,menyuapi,,
sn,,,
coklat,cokelat,,
nyebrang,menyeberang,,
sarankannya,sarannya,,
masyaallah,masya Allah,,
krj,kerja,,
kt,kita,,
payanan,pelayanan,,
dipertimbanhkan,dipertimbangkan,,
berapapun,berapa pun,,
nampang,muncul,,
keknya,kayaknya,,
ngakunya,mengaku,,
nyempetin,menyempatkan,,
untk,untuk,,
brt,berat,,
bp,bapak,,
kado,hadiah,,
numbernya,nomornya,,
verynice,,,
dikash,dikasih,,
mengesalkan,menyebalkan,,
ngalamin,mengalami,,
burulk,buruk,,
selese,selesai,,
kedubrak,,,
exspress,ekspres,,
perna,pernah,,
payahhhhh,payah,,
bnyak,banyak,,
posindonesia,pos indonesia,,
moga,semoga,,
khusu,khusus,,
